,Price,Description,Rooms,Build Area,Land Area,Location
0,120000€,"La Crama Residence - case cu 5 camere, demisol și izolație fonică",5 camere,182 m²,teren 200 m²,"Casa de vanzare: Iasi (judet), Iasi"
1,115000€,"ESQ Village 3, cel mai mare ansamblu de case din Iasi, zona Galata",4 camere,125 m²,teren 140 m²,"Casa de vanzare: Iasi (judet), Iasi"
2,100000€,"Casa tip duplex, 120 mp, mansarda amenajata, in Valea Adanca",3 camere,"83,83 m²",teren 166 m²,"Casa de vanzare: Iasi (judet), Iasi"
3,108000€,Vila Duplex Mobilata Utilata zona Valea Adanca,4 camere,125 m²,teren 250 m²,"Casa de vanzare: Iasi (judet), Iasi"
4,99990€,Case noi direct la dezvoltator! Acces asfaltat!,3 camere,108 m²,teren 180 m²,"Casa de vanzare: Iasi (judet), Iasi"
5,99900€,Vilă tip Duplex zona Rediu - 5 minute distanță de Kaufland Păcurari,3 camere,108 m²,teren 180 m²,"Casa de vanzare: Iasi (judet), Iasi"
6,92000€,Mutare imediata - vila 4 cam - Valea Lupului,4 camere,130 m²,teren 280 m²,"Casa de vanzare: Iasi (judet), Iasi"
7,125000€,Vila finalizata de vanzare zona Valea Lupului.,4 camere,140 m²,teren 350 m²,"Casa de vanzare: Iasi (judet), Iasi"
8,99000€,Casă tip Duplex - zona Păcurari Rediu,3 camere,108 m²,teren 180 m²,"Casa de vanzare: Iasi (judet), Iasi"
9,125000€,Vila de vanzare zona Hlincea,4 camere,130 m²,teren 500 m²,"Casa de vanzare: Iasi (judet), Manta Rosie"
10,120000€,"La Crama Residence - case cu 5 camere, demisol și izolație fonică",5 camere,182 m²,teren 200 m²,"Casa de vanzare: Iasi (judet), Iasi"
11,140000€,Casa de vanzare in Breazu,3 camere,117 m²,teren 500 m²,"Casa de vanzare: Iasi (judet), Iasi"
12,95000€,Casa de vanzare zona Visan,3 camere,95 m²,teren 290 m²,"Casa de vanzare: Iasi (judet), Bucium"
13,52000€,"Casa 3 camere, zona Galata, Ideal pentru investitii!",3 camere,55 m²,teren 300 m²,"Casa de vanzare: Iasi (judet), Galata"
14,95000€,"Casa 4 camere, Popas Pacurari - Valea Lupului, CANALIZARE !",4 camere,110 m²,teren 265 m²,"Casa de vanzare: Iasi (judet), Iasi"
15,86000€,"Casa individuala in Iasi, zona Aroneanu",3 camere,119 m²,teren 425 m²,"Casa de vanzare: Iasi (judet), Moara de Vant"
16,99900€,Comision 0 - direct la dezvoltator - casa tip duplex,3 camere,108 m²,teren 180 m²,"Casa de vanzare: Iasi (judet), Iasi"
17,99900€,Duplex finalizat - Păcurari - Rediu - direct la dezvoltator,3 camere,108 m²,teren 180 m²,"Casa de vanzare: Iasi (judet), Iasi"
18,109900€,"De vanzare,Casa complet mobilata si Utilata, 100mp Utili + 180mp Teren",4 camere,165 m²,teren 250 m²,"Casa de vanzare: Iasi (judet), Bucium"
19,115000€,"Casa Visan , P + E , beci, 134mp utili , 440 mp teren. Pret Negociabil",4 camere,134 m²,teren 440 m²,"Casa de vanzare: Iasi (judet), Bucium"
20,135000€,Vila Duplex Bucium,5 camere,130 m²,teren 200 m²,"Casa de vanzare: Iasi (judet), Bucium"
21,145000€,Casă individuala direct de la reprezentantul DEZVOLTATORULUI,4 camere,170 m²,teren 400 m²,"Casa de vanzare: Iasi (judet), Copou"
22,125000€,"Vila individuala,4 camere,0 comision, mutare imediata,zona Bucium,",4 camere,"138,20 m²",teren 440 m²,"Casa de vanzare: Iasi (judet), Bucium"
23,95000€,"D+P+1+M! Vila 4 camere, 130 mp utili, Valea Adanca - Miroslava",4 camere,160 m²,teren 225 m²,"Casa de vanzare: Iasi (judet), Iasi"
24,82000€,Casa tip duplex 3 cam Rediu,3 camere,110 m²,teren 200 m²,"Casa de vanzare: Iasi (judet), Iasi"
25,119980€,Casa Visan Asfalt/Canalizare/Incalzire Pardoseala,4 camere,130 m²,teren 350 m²,"Casa de vanzare: Iasi (judet), Bucium"
26,98000€,"Casa 4 camere Cug , 100 metri Cod:138883",4 camere,140 m²,teren 250 m²,"Casa de vanzare: Iasi (judet), Iasi"
